,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.57169749274654,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.67654773372157,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.86947018999245,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.40741154700022,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.97430164130982,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.45910636823544,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.24484282680542,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.21491501896869,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.07442880999326,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.17242064214562,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.20080093275133,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.59335356570127,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.66663403105227,Aggregates,Aggregates,Aggregates,,
